violation_type,count
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",2
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""NO PARKING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",2
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""NO PARKING""]",2
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",2
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEMANDING EXCESS FARE""]",2
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING""]",2
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",2
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""DOUBLE PARKING""]",2
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",2
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""NO PARKING""]",2
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OTHER THAN BUS STOP""]",2
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING""]",1
"[""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""USING BLACK FILM/OTHER MATERIALS""]",1
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD""]",1
"[""DOUBLE PARKING"",""PARKING ON FOOTPATH"",""NO PARKING"",""WRONG PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING ON FOOTPATH""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""NO PARKING"",""DOUBLE PARKING""]",1
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""DEFECTIVE NUMBER PLATE"",""DOUBLE PARKING"",""WRONG PARKING""]",1
"[""DOUBLE PARKING"",""PARKING ON FOOTPATH"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE"",""DEMANDING EXCESS FARE"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEMANDING EXCESS FARE"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""NO PARKING"",""DOUBLE PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING ON FOOTPATH""]",1
"[""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING IN A MAIN ROAD"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE"",""WRONG PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""OBSTRUCTING DRIVER""]",1
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""USING BLACK FILM/OTHER MATERIALS"",""DOUBLE PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""NO PARKING""]",1
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""NO PARKING""]",1
"[""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""DEFECTIVE NUMBER PLATE"",""OBSTRUCTING DRIVER"",""PARKING IN A MAIN ROAD"",""WRONG PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""USING BLACK FILM/OTHER MATERIALS"",""PARKING IN A MAIN ROAD""]",1
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING"",""DEMANDING EXCESS FARE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING ON FOOTPATH""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OTHER THAN BUS STOP""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING""]",1
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""NO PARKING"",""VIOLATING LANE DISIPLINE"",""OBSTRUCTING DRIVER""]",1
"[""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""PARKING IN A MAIN ROAD""]",1
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""WRONG PARKING"",""NO PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING""]",1
"[""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""FAIL TO USE SAFETY BELTS"",""WRONG PARKING"",""NO PARKING"",""JUMPING TRAFFIC SIGNAL"",""DEFECTIVE NUMBER PLATE""]",1
"[""NO PARKING"",""WRONG PARKING"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING OTHER THAN BUS STOP""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DOUBLE PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""WRONG PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""REFUSE TO GO FOR HIRE"",""DEMANDING EXCESS FARE""]",1
"[""DEFECTIVE NUMBER PLATE"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""PARKING ON FOOTPATH"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""WITHOUT SIDE MIRROR""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",1
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DEFECTIVE NUMBER PLATE"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""NO PARKING"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING IN A MAIN ROAD"",""NO PARKING"",""DEMANDING EXCESS FARE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING IN A MAIN ROAD"",""DOUBLE PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING""]",1
"[""PARKING ON FOOTPATH"",""DEFECTIVE NUMBER PLATE"",""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""DOUBLE PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""REFUSE TO GO FOR HIRE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DEFECTIVE NUMBER PLATE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""NO PARKING"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""DOUBLE PARKING"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""DOUBLE PARKING"",""WRONG PARKING"",""AGAINST ONE WAY/NO ENTRY""]",1
"[""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH""]",1
"[""NO PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""DEFECTIVE NUMBER PLATE""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""WRONG PARKING"",""NO PARKING"",""PARKING NEAR ROAD CROSSING"",""REFUSE TO GO FOR HIRE"",""DOUBLE PARKING""]",1
"[""WRONG PARKING"",""NO PARKING"",""REFUSE TO GO FOR HIRE"",""PARKING OTHER THAN BUS STOP""]",1
"[""H T V PROHIBITED"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING"",""AGAINST ONE WAY/NO ENTRY"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""WITHOUT SIDE MIRROR""]",1
"[""WRONG PARKING"",""REFUSE TO GO FOR HIRE"",""DEFECTIVE NUMBER PLATE"",""DEMANDING EXCESS FARE""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING NEAR TRAFFIC LIGHT OR ZEBRA CROSS"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""NO PARKING"",""WRONG PARKING""]",1
"[""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""REFUSE TO GO FOR HIRE""]",1
"[""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""REFUSE TO GO FOR HIRE""]",1
"[""PARKING NEAR ROAD CROSSING"",""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]",1
"[""PARKING NEAR ROAD CROSSING"",""PARKING ON FOOTPATH"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING"",""DEFECTIVE NUMBER PLATE"",""PARKING NEAR ROAD CROSSING""]",1
"[""DEFECTIVE NUMBER PLATE"",""PARKING ON FOOTPATH"",""DOUBLE PARKING"",""WRONG PARKING"",""NO PARKING""]",1
"[""PARKING IN A MAIN ROAD"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""NO PARKING"",""WRONG PARKING""]",1
"[""PARKING OTHER THAN BUS STOP"",""PARKING IN A MAIN ROAD"",""NO PARKING""]",1
"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""DOUBLE PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING IN A MAIN ROAD"",""PARKING ON FOOTPATH"",""PARKING NEAR ROAD CROSSING""]",1
